KIAA0586
ACAP3
ACVR1
ADAM17
ADGRF5
AGL
AGPAT2
ALKBH1
ALPL
ALX4
AMER1
ANKH
ANO6
ANTXR1
APC
AR
ARSB
ASCC3
ATF2
ATF4
ATN1
BAG3
BBS5
BBX
BGN
BLZF1
BMP2
BMP5
BMPER
BMPR1A
BMPR1B
CACNA1S
CALCR
CASR
CAV1
CBFB
CD44
CENPJ
CHAD
CHKB
CHPF
CHST11
CHST14
CHSY1
CHUK
CNN1
COL1A1
COL1A2
COL2A1
COL7A1
COL9A1
COL10A1
COL11A1
COL11A2
COL12A1
COL27A1
COMP
CREB3L1
CREB3L2
CRTAP
CSF1
CSF1R
CSGALNACT1
CST5
CTGF
CTNNA1
CTSK
CTSV
CYP27B1
CYP51A1
DDR2
DICER1
DMP1
DNASE1L2
DRD2
DUSP3
DUSP6
DYM
EBF1
EBF2
EGR2
ELMOD1
EN1
ERRFI1
ESR1
ESR2
EVC
EVC2
EVX2
EXT1
FAM20C
FAM63A
FAM134C
FAM151B
FBN1
FBN2
FGF8
FGF9
FGF10
FGF18
FGF21
FGF23
FGFR1
FGFR2
FGFR3
FGFRL1
FIG4
FLNB
FMN1
FOS
FOSL2
FOXC1
FREM2
FRZB
FSHR
FSTL1
FUZ
G6PC
GALC
GALNS
GALNT3
GAS1
GDF5
GGT1
GHR
GHRHR
GJA1
GLCE
GLG1
GLI2
GLI3
GNAS
GNPTAB
GPER1
GPR87
GREM1
GRHL3
GSC
GSN
GSX1
GUSB
HAPLN1
HAS2
HCST
HDAC4
HELLS
HIF1A
HOXA3
HOXA11
HOXA13
HOXC8
HOXC10
HOXD9
HOXD11
HOXD12
HOXD13
HS6ST1
HSD17B7
HSPG2
IBSP
IDUA
IFITM5
IFT80
IFT88
IFT172
IGF1
IGF2
IGFALS
IHH
IL6ST
IL10
ILK
IMPAD1
INPP4B
INPP5D
INPP5E
IRAK3
IRF6
IRS1
ITGA10
ITGB1
ITGB1BP1
ITGB2
JAG2
