ACAP3
ACP2
ALPL
AMER1
ANKH
ANO6
APC
ATF4
C1orf112
BMP2
BMPR1A
CALCB
CASR
CAV1
CD68
CEBPB
CHUK
CISD2
CNOT3
COL1A1
COL1A2
COL11A1
COL12A1
CREB3L1
CRH
CRTAP
CSF1
CSF1R
CST5
CTSK
CYP27B1
DDR1
DKK2
DLX5
DUOX2
EBF1
EGR2
EIF2AK3
ENPP1
ESR1
ESR2
FAM20C
FAM117B
FGF23
FGFR3
FLNB
FOSL2
FZD9
GC
GLCE
GLI3
GPRC6A
GREM1
HOXC10
HS2ST1
HSPG2
IBSP
ID4
IFT88
IGF1R
IHH
IL10
INPP4B
IRS1
ISG15
ITGB1
KCNJ16
LMNA
LRP2
LRP5
LRRK1
MBTPS1
MECOM
MEPE
MIA3
MMP14
NABP2
NACA
NELL1
NFIX
NOG
NOS2
NOS3
NPY2R
OFD1
PBX3
PEX7
PHEX
PHOSPHO1
PKD1
PKDCC
PRKAR1A
PRLR
PTCH1
PTH
PTH1R
PTHLH
PYY
RASSF2
RGN
RHBDF2
RNF169
ROR2
RPS6KA3
RUNX1
RUNX2
SATB2
SBNO2
SIK3
SIN3B
SLC20A1
SMPD3
SOST
SOX5
SOX9
SOX11
SP3
SP7
SPP1
SQSTM1
STAG1
TBX22
THRA
THRB
TNFAIP1
TNFRSF11A
TNNT3
TRIP11
TRPC3
TTLL4
VDR
XYLB
ZNF202
ZNF521
