KIAA0586
ADAM8
ADAM17
ADRB2
AKR1A1
ALPL
AMER1
ANKH
ANO6
APAF1
APC
APH1A
ARSB
ATF2
ATF4
ATP2A2
ATP6V0D2
ATR
AXIN2
BGN
BMP2
BMP4
BMP5
BMPER
BMPR1A
BMPR1B
BNC2
CACNA1H
CAMK4
CASP3
CASR
CAV1
CBFB
CCR2
CD40LG
CD44
CD47
CEBPB
CHAD
CHRD
CHST11
CHSY1
CLDN18
CLEC3B
CNN1
CNOT3
COL1A1
COL2A1
COL5A2
COL10A1
COL11A1
COL11A2
COL12A1
COL27A1
COMP
CREB3L1
CREB3L2
CREBBP
CRTAP
CSF1
CSF1R
CSGALNACT1
CST5
CTGF
CTHRC1
CTNNA1
CTSK
CTSV
CYP27B1
DCHS1
DCSTAMP
DDR2
DICER1
DISP1
DKK2
DLL3
DLX5
DMP1
DMRT2
DNMT3B
DPH1
DUOX2
DUSP6
DYM
EBF1
EBF2
EFNB1
EGFR
EGR2
EIF2AK3
ELAVL1
ENPP1
EPHA2
ESR1
ESR2
KIAA1217
EVC
EVC2
EXT1
EXT2
FAM20B
FAM20C
FAT4
FBLIM1
FBN2
FGF18
FGF21
FGF23
FGFR1
FGFR2
FGFR3
FGFRL1
FKBP8
FOS
FOSL2
FOXC1
FOXC2
FST
FZD9
G6PC
GAB2
GALC
GALNS
GBA
GDF5
GGT1
GHR
GHRHR
GJA1
GLCE
GLG1
GLI2
GNAS
GNPTAB
GPC3
GPR55
GPR68
GREM1
GSK3B
GSN
GSX1
GUSB
HAPLN1
HAS2
HCST
HDAC4
HELLS
HES7
HHAT
HIF1A
HIVEP3
HOXA2
HOXB8
HOXC4
HS6ST1
HSPG2
ID1
ID4
IDUA
IFT80
IFT88
IGF1
IGF2
IHH
IL6
IL6ST
IL10
IL17RB
IL20RA
ILK
IMPAD1
INPP4B
INPP5D
IRS1
ITGA10
ITGB1
JDP2
JUNB
KHDRBS1
KIF3A
KITLG
KL
KMT2A
LASP1
LBR
LEP
LEPR
LFNG
LGALS3
LIF
LMX1A
LMX1B
LRP6
LTBP3
MAPK14
MATN1
MATN3
MBTPS1
MDFI
MECOM
MED31
MEOX1
MESP2
MEX3C
MGP
MIA3
MITF
MKS1
MMP2
MMP9
MMP13
MMP14
MSX1
MSX2
MYCN
MYF5
MYF6
MZF1
NABP2
NACA
NBR1
NCDN
NELL1
NF1
NFATC1
NFIX
NFKB2
NKX3-2
NLK
NLRP3
NOG
NOS1
NOS2
NOS3
NOTO
NOV
NPPC
NPR2
NPR3
NR3C1
NTRK2
OFD1
OSCAR
P2RX7
P3H1
PAPSS2
PAX1
PAX3
PDGFC
PDGFRA
PDK4
PDS5B
PEX7
PFN1
PHEX
PIGA
PITX1
PITX2
PKD1
PKDCC
PLCG2
PLEKHO1
POSTN
PPARG
PPARGC1B
PRKACA
PRKCD
PRKG2
PRRX1
PSEN1
PSIP1
PTCH1
PTEN
PTGER2
PTGER4
PTGS2
PTH
PTH1R
PTHLH
PTPN2
PTPRE
QRFPR
RAB23
RAI1
RARG
RASSF2
RGS10
ROR2
RPL38
RPS6KA3
RUNX1
RUNX2
RXRA
SBNO2
SCX
SERPINH1
SFRP2
SH3BP2
SH3PXD2B
SHH
SHOX2
SIGLEC15
SIK3
SKI
SLC4A2
SLC4A4
SLC7A7
SLC26A2
SLC30A5
SLC34A1
SLC35D1
SLC37A4
SLC39A13
SMAD1
SMAD3
SMAD5
SMARCAL1
SMO
SMPD3
SNAP25
SOX9
SP3
SP7
SPRED2
SQSTM1
SRC
STAT1
SUCO
SUMF1
SUZ12
SYK
T
TACC3
TBX6
TBX15
TBX18
TBX22
TCF15
TCIRG1
TFPI
TGFB2
TGFBR1
TGFBR3
THRA
THRB
TLR4
TM7SF2
TMEM64
TMEM119
TNFRSF11A
TNFRSF11B
TNFSF11
TNNT3
TNS3
TOB1
TOB2
TRAF4
TRAF6
TRIP11
TRPM6
TULP3
TWIST1
TWIST2
TWSG1
TYROBP
UHRF1
UNCX
USP1
VANGL2
VCP
VDR
WAS
WLS
WNT7B
WNT9A
WWOX
WWP1
XYLT1
ZNF521
