KIAA0586
ABCB4
ACAP3
ACP2
ACVR1
ADAM8
ADAM17
ADAMTS5
ADGRG6
ADIPOQ
ADRB2
AGER
AIF1
AKR1A1
ALKBH1
ALOX5AP
ALPL
AMER1
ANKH
ANO6
ANXA1
APAF1
APC
APOE
AR
ARNTL
ASH1L
ASXL1
ATF4
ATP6V0D2
ATP7A
AXIN2
BBX
C1orf112
BGN
BMP2
BMP5
BMP6
BMP7
BMPR1A
BMPR2
BMX
BTG3
C1QTNF3
C3
CADM1
CALCB
CALCR
CAMK4
CASP3
CASR
CAV1
CBFB
CCR2
CD1D
CD14
CD44
CD47
CD68
CD69
CD200
CD274
CDKN1A
CEBPB
CEBPE
CENPJ
CFB
CFP
CHAD
CHSY1
CHUK
CISD2
CLCN7
CLDN18
CLEC5A
CNN1
CNOT3
COL1A1
COL1A2
COL2A1
COL9A1
COL11A1
COL12A1
COL14A1
COL27A1
COMP
CREB3L1
CREBBP
CRH
CRTAP
CRY2
CSF1
CSF1R
CST5
CTGF
CTHRC1
CTLA4
CTNNA1
CTSK
CTSV
CTSS
CXCR2
CXCR4
CYP19A1
CYP24A1
CYP27B1
CYTL1
DCHS1
DCSTAMP
DDR1
DERL2
DHRS3
DICER1
DKK2
DLL3
DLX5
DMP1
DPPA4
DUOX2
DUSP1
DUSP2
DUSP6
EBF1
EBF2
EDNRB
EFNB1
EGR2
EIF2AK3
ELAVL1
EN1
ENPP1
ERF
ERRFI1
ESR1
ESR2
EVC
EVC2
EXT2
F2
F2RL1
FAM20C
FAM73B
FAM117B
FARP2
FASLG
FAT4
FBLIM1
FBN1
FBN2
FCGR1A
FCGR2B
FCGR2A
FCGR3A
FCGR3B
FFAR2
FGF18
FGF23
FGFR1
FGFR2
FGFR3
FGFRL1
FIG4
FLNB
FMOD
FNDC3B
FOSL1
FOSL2
FOXC1
FOXC2
FPR2
FREM1
FRZB
FSTL1
FUZ
FZD9
GAB2
GALC
GATA1
GBA
GC
GCM2
GDF5
GFRA4
GHR
GJA1
GLCE
GLG1
GLI2
GLI3
GLRB
GNAS
GNPTAB
GPC3
GPR55
GPR65
GPR68
GPRC6A
GPSM3
GREM1
GSK3B
GSN
HAX1
HCST
HDAC4
HDAC8
HELLS
HHAT
HIF1A
HIVEP3
HOXA4
HOXC10
HOXD13
HS2ST1
HSPG2
HTR1B
HYAL1
IAPP
IBSP
ID1
ID4
IFNGR1
IFT88
IGF1
IGF1R
IGF2
IGF2R
IHH
IL1B
IL1R1
IL1RN
IL6
IL6ST
IL10
IL20RA
IL27RA
ILK
INPP4B
INPP5D
INPP5E
IRAK3
IRF1
IRF6
IRS1
ISG15
ITGB1
ITGB1BP1
ITGB2
ITGB3
JAK1
JUNB
KCNJ16
KHDRBS1
KIF3A
KIT
KITLG
KL
KLF10
KSR1
LASP1
LECT1
LGALS9B
LIF
LIMD1
LMNA
LMNB1
KIAA1715
LPIN1
LRP2
LRP5
LRP6
LRRK1
LTB4R
LTB4R2
LTBP3
MAFB
MATN3
MBTPS1
MECOM
MED31
MEF2C
MEFV
MEGF8
MEOX2
MEPE
MGAT2
MGP
MIA3
MITF
MKS1
MLLT3
MMP2
MMP3
MMP9
MMP13
MMP14
MSX2
MYD88
MYF5
MYF6
MYOG
NABP2
NACA
NACC1
NBR1
NCOA1
NCOR2
NDST1
NDST2
NEIL1
NELL1
NF1
NFATC1
NFE2
NFIX
NFKBIB
NIPBL
NKX3-2
NLRP3
NOD2
NOG
NOS2
NOS3
NOV
NPR2
NPR3
NPY1R
NPY2R
NR1H2
NR3C1
NSDHL
OFD1
P2RX7
P3H1
PAPPA
PAPSS2
PBX3
PCGF2
PCOLCE
PCSK5
PDCD1
PDGFRA
PDS5A
PDS5B
PECAM1
PER2
PEX2
PEX7
PFN1
PGLYRP1
PGLYRP2
PGR
PHEX
PHF14
PHOSPHO1
PIK3CD
PIK3CG
PKD1
PKDCC
PLAGL1
PLAT
PLAU
PLCG2
PLEKHO1
PLK2
POSTN
PPARG
PPARGC1B
PRDM5
PRDM16
PRKAR1A
PRKCD
PRKG2
PRLR
PRPSAP2
PRRX1
PSEN1
PSTPIP2
PTCH1
PTGER4
PTGS1
PTGS2
PTH
PTH1R
PTHLH
PTPN2
PTPN6
PTPRC
PTPRE
PYY
RAG1
RASGRP4
RASSF2
RGN
RHBDF2
RNF2
RNF165
RNF169
ROR2
RPS6KA3
RPS7
RSPO2
RUNX1
RUNX2
RYR1
SATB2
SBNO2
SCX
SELP
SERPINH1
SETDB1
SFRP2
SH3BP2
SHARPIN
SIGLEC15
SIK3
SIN3B
SIX1
SLC4A2
SLC20A1
SLC26A2
SLC27A4
SLC34A1
SLC38A10
SLC39A13
SMAD1
SMAD3
SMAD4
SMPD3
SMURF1
SOCS3
SOD3
SOST
SOX5
SOX9
SOX11
SP3
SP7
SPARC
SPNS2
SPP1
SQSTM1
SRC
STAG1
STAT1
STAT3
SUCO
SYK
SYVN1
T
TAB1
TACC3
TACR1
TBX15
TBX22
TCF15
TCIRG1
TGFB1
TGFBR1
THBS3
THRA
THRB
TIA1
TLR2
TLR4
TMEM64
TMEM107
TMEM119
TNF
TNFAIP1
TNFAIP3
TNFRSF11A
TNFRSF11B
TNFSF10
TNFSF11
TNFSF13
TNFSF15
TNNT3
TOB1
TOB2
TPH1
TPSB2
TPSAB1
TRAF6
TRIM45
TRIP11
TRPC3
TRPS1
TTLL4
TWIST1
TWSG1
TYK2
TYROBP
UROS
USP1
UTF1
VANGL2
VCAN
VDR
WAS
WDR1
WDR19
WHSC1
WLS
WNT3A
WNT5A
WNT7B
WNT9A
WNT16
WWOX
WWTR1
XYLB
XYLT1
ZAP70
ZEB1
ZFP36
ZNF202
ZNF521
ZMPSTE24
