C21orf62
ACP2
ACVR1
ACVR2B
ADAMTS6
AFF3
ANKRD13A
ANTXR1
APAF1
ARHGAP1
ARID4A
ARID5B
ARL4D
ARNTL
ARPC2
ASXL1
ASXL2
ATP7A
ATPAF2
AXIN1
BAG3
COMMD3-BMI1
BMP2
BMP4
BMP5
BMP7
BMPER
BMPR2
BRDT
BTG2
CACNA1S
CACNA2D2
CBFB
CBX2
CBX5
CDX1
CDX2
CDX4
CENPJ
CHRD
CHST11
CHUK
CLEC3B
CLU
COA5
COL1A1
COL1A2
COL2A1
COL10A1
COL12A1
CREBBP
CRKL
CSRP2BP
CTGF
CTSK
CYP26A1
DACT1
DCHS1
DEAF1
DHRS3
DLL1
DLL3
DMRT2
DNMT3B
DSCC1
DUSP4
DVL2
DYM
E2F6
EFNA1
EHD1
EIF2AK3
ELAVL1
ENPP1
EPHA2
ESCO1
ESR1
KIAA1217
EVC
EYA1
FAM20C
FAM134C
FAT4
FBN1
FGF3
FGF9
FGF23
FGFR1
FGFR2
FGFR3
FGFRL1
FKBP8
FLNB
FOSL2
FOXC1
FOXC2
FSHR
FST
FSTL1
FTO
FZD9
GAS1
GDF11
GGT1
GLG1
GLI2
GLI3
GNAI3
GPR87
GRHL3
GSC
HAPLN1
HAT1
HDAC2
HDAC4
HELLS
HES7
HOXA3
HOXA4
HOXA5
HOXA6
HOXA9
HOXA10
HOXA11
HOXB2
HOXB3
HOXB4
HOXB5
HOXB6
HOXB8
HOXB9
HOXB13
HOXC4
HOXC6
HOXC8
HOXC9
HOXC10
HOXC13
HOXD1
HOXD3
HOXD4
HOXD8
HOXD9
HOXD10
HOXD11
HOXD13
HS2ST1
HSPG2
HYAL2
IDUA
IGF2
IHH
IRF6
ITGB1BP1
JAG2
JMJD1C
JUN
KAT2A
KAT6A
KDM4B
KDM7A
KIF3A
KMT2A
KY
LASP1
LFNG
LMNB1
LMO4
LMX1A
LRIG1
LRP5
LRP6
LTBP3
MAP3K4
MAPK14
MBTD1
MDFI
MED12
MEOX1
MESP2
MLLT3
MSGN1
MTA1
MTF2
MYCN
MYF5
MYF6
MYSM1
NACC1
NDC1
NDRG2
NELL1
NFIX
NKX3-2
NOG
NOTCH1
NOTO
NOV
NPPC
NPR2
NPR3
NRARP
OAS1
PAX1
PAX3
PCGF2
PCSK5
PDGFC
PDGFRA
PDS5A
PDS5B
PEX3
PGAP1
PHC1
PHC2
PHEX
PHF20
PIP4K2B
PKD1
PKDCC
PLAGL1
PLXND1
PNN
POFUT1
PORCN
PPP5C
PRKD3
PRKG2
PRRX1
PSEN1
PSIP1
PTH
PTHLH
PTK7
PYY
QRFPR
RAB23
RAI1
RARA
RARB
RARG
RING1
RIPPLY2
RLBP1
RNF2
ROR2
RPL24
RPL38
RPS6KA3
RPS7
RTF1
RUNX2
SCMH1
SCN8A
SEC23A
SEMA3A
SEPN1
SERPINH1
SF3B1
SFN
SFRP2
SGPL1
SGSH
SH3GL2
SHH
SIX1
SKI
SLC35D1
SLC44A5
SLX4
SMARCAD1
SMURF2
SOX5
SOX9
SOX11
SP3
SP7
SP8
SPNS2
SSBP3
STARD5
SULF1
SULF2
SUMF1
SUPV3L1
SUZ12
SYTL1
T
TACC3
TAPT1
TASP1
TBX1
TBX6
TBX15
TBX18
TCF15
TENM4
TERT
TGFB2
TM9SF4
TRAF4
TRPM6
TSHZ1
TTC21B
TULP3
TWSG1
UBA2
UNCX
USP14
VANGL2
WDR19
WFIKKN1
WNT3A
WNT5A
WNT7A
WNT9A
XBP1
XPNPEP1
ZBTB16
ZC3HC1
ZNF521
ZIC2
ZIC3
ZMPSTE24
